comment_text,content_id,형태소,형태소기반_감정,맥락기반_감정
뽀로로 음료수 먹는방법이랑 비슷합니다,74,"['뽀로로', '음료수', '방법']",중립,중립
어우 잠깐 비주얼이,74,['비주얼'],중립,중립
알음은 여기서 쓰는 말이 아니고 앎이라고 해야됨,74,"['알음', '여기', '아니']",중립,중립
약간 오투랑 비슷한듯,74,[],중립,중립
아니 뽀로로 음료수 안마사봄?! (화난거 아니고 TTS말투임),74,"['뽀로로', '음료수', '안마사', '아니', '말투']",중립,중립
실리콘트레이 한번쓰고 안써요 잘 빠질거 같죠? 플라스틱보다 더 안빠져요 뚜껑구멍으로 물 넣는거? 더 불편해요,75,"['실리콘', '트레이', '빠지', '플라스틱', '빠지', '뚜껑', '구멍', '불편']",중립,중립
,76,[],중립,중립
,81,[],중립,중립
,83,[],중립,중립
,84,[],중립,중립
,90,[],중립,중립
,101,[],중립,중립
다이소에 없으면 ..약국에 가서 산화 미그네슘 구매해서 드세요..,104,"['다이소', '약국', '산화', '미그네슘', '구매', '드세']",중립,중립
마그밀 처방받아 먹으면 됨. 대표적인 산화마그네슘 계열 변비약,104,"['처방', '대표', '산화 마그네슘', '계열', '변비']",중립,중립
산화마그네슘 마그밀도 아주잘들어요,104,"['산화 마그네슘', '밀도']",중립,중립
"약사님 혹시 프로뉴트리션 광고 보셨나요? 아랫배만 불룩하고 땀을 다른 사람보다 많이 흘리는 사람 어쩌고 하면서 장내에 찌꺼기가 남아있어서 그걸 비워주네마네 하던데,,과대광고일까요? 진짜 살 빼도 아랫배만 안 빠지고 최근 피부도 완전 뒤집어져서 그 광고보니 혹하더라구여..궁금합니다.",104,"['약사', '프로', '트리', '광고', '아랫배', '사람', '흘리', '사람', '어쩌', '장내', '찌꺼기', '그거', '비우', '과대', '광고', '아랫배', '빠지', '최근', '피부', '뒤집어지', '광고', '혹하', '궁금하']",중립,중립
,107,[],중립,중립
,111,[],중립,중립
,116,[],중립,중립
,117,[],중립,중립
,118,[],중립,중립
,127,[],중립,중립
,128,[],중립,중립
,129,[],중립,중립
혹시 초고도 근시 20대인데 시력 조금씩 나빠지는거 느끼고 안구건조가 심합니다..! 안국건강 루테인만 챙겨먹어도 될까요? 아님 어떤거 챙겨먹으면 될까요..?,132,"['고도', '근시', '시력', '조금', '나빠지', '느끼', '안구', '건조', '심하', '건강', '루테', '챙기', '아니', '챙기']",긍정,중립
"굿모닝 입니다쌤~^^ 안토시아닌50mg,루테인10,아스타잔틴2,지아잔틴2이면 어떤가요? 비타민A가 없네요.",132,"['굿모닝', '안토시아닌', '루테', '아스타잔틴2', '지아잔틴2', '어떻', '비타민']",중립,중립
그게 뭔가요,132,['그것'],중립,중립
그게뭔지요?,132,['그것'],중립,중립
솔티스 이런거는 어떤가요?,132,"['솔티스', '어떻']",중립,중립
,133,[],중립,중립
다이소가서 눈에 보이면 무조건 사서 먹어봐야겠네요,134,"['다이소', '보이']",중립,중립
새로운 다이소 핫템이네여,134,"['새롭', '다이소', '핫템']",중립,중립
,135,[],중립,중립
50대 직장인 싱글녀가 퇴근 후 시간 보내는 법 >>> https://www.youtube.com/watch?v=Do6Rkz-xaJE&t=93s,136,"['직장인', '싱글', '퇴근', '시간', '보내']",중립,중립
,137,[],중립,중립
,139,[],중립,중립
,143,[],중립,중립
,144,[],중립,중립
,145,[],중립,중립
저 베르베린 500mg가 아니라 실제로는 100mg이던데...?,146,"['베르', '아니']",중립,중립
가격은 또 왜 이렇게 착해?!,149,"['가격', '이렇', '착하']",긍정,중립
아니 그냥 물에 타서 주면....,151,[],중립,중립
정말...제약회사 좋을 일이구나. 약사는 죽어가고. 개인의사는 죽어가고 대형병원 이사장들은 신나고.,152,"['제약', '회사', '약사', '개인', '의사', '병원', '이사장']",중립,중립
,153,[],중립,중립
왕자핑은 내가 먹어야겠다,156,['왕자'],중립,중립
,157,[],중립,중립
